Configurable ANSI disabled.
> 
                            Areas of 3 Kingdoms
                             (651 areas listed)
 No.:   Creator(s):          Area Name:                          Realm:
 551.   Tiro                 Forest Beach and Cove               Fantasy     
 552.   Tiro                 Lego Monster Lair                   Chaos       
 553.   Tiro                 Pinnacle Sewers                     Pinnacle    
 554.   Tiro                 The Chronicles of Thomas Covenant   Chaos       
 555.   Tiro                 The Mews                            Fantasy     
 556.   Tiro                 The Outhouse                        Chaos       
 557.   Tiro and             Wayhaven                            Fantasy
        Blackstaff        
 558.   Tiro and Cletus      Pinnacle                            Pinnacle    
 559.   Tiro and Zetron      Isle of Kimlark                     Fantasy     
 560.   To                   A Dark Cavern                       Fantasy     
 561.   Toad                 Bots 'R' Us                         Science     
 562.   Toasty               Greenhouse                          Chaos       
 563.   Toasty               Stormrock Castle                    Fantasy     
 564.   Tramane              Enchanted Spring                    Fantasy     
 565.   Tramane, Thyros      Crevice of the Mystic Seal          Fantasy
        and Kendric       
 566.   Trandamere           Fachan Village                      Fantasy     
 567.   Trandamere           Lair of the Owlbear                 Fantasy     
 568.   Tranzic              Abandoned Forest Home               Fantasy     
 569.   Tranzic              Cave in the Hills                   Fantasy     
 570.   Tuesdai              Elven Hills                         Newbieland  
 571.   Tuesdai              Freaky Fruit Orchard                Chaos       
 572.   Tuesdai              Hamilton Plant                      Science     
 573.   Tuesdai              Incinerator                         Science     
 574.   Tuesdai              Kandy Mountain                      Chaos       
 575.   Tuesdai              Kunzit's Hole                       Fantasy     
 576.   Tuesdai              Little People Land                  Chaos       
 577.   Tuesdai              Mario's Bistro                      Pinnacle    
 578.   Tuesdai              McDonald's                          Chaos       
 579.   Tuesdai              Mega-Tokyo Bike Shop                Science     
 580.   Tuesdai              Old MacDonald's Farm                Chaos       
 581.   Tuesdai              The Soda Jerk                       Chaos       
 582.   Tuesdai              Underwood Disease Testing Center    Science     
 583.   Tuesdai              Veggie Garden                       Chaos       
 584.   Tuesdai              Wayhaven Shops                      Fantasy     
 585.   Tuesdai              Winnie the Pooh                     Chaos       
 586.   Tuesdai and Chaos    Barney's Studio                     Chaos       
 587.   Tulip                Bennebroek Manor                    Chaos       
 588.   Tweety               Chaos Laundry                       Chaos       
 589.   Ulme                 Collapsed Subway                    Science     
 590.   Ulme                 Crashed Plane                       Science     
 591.   Ulme                 Deghna's Maze                       Fantasy     
 592.   Ulme                 Einstein's Cottage                  Chaos       
 593.   Ulme                 Exobiology Laboratory               Science     
 594.   Ulme                 HTC Kiosk                           Science     
 595.   Ulme                 Midgard and Valhalla                Chaos       
 596.   Ulme                 Oil Storage Cave                    Science     
 597.   Ulme                 Old Guard Tower                     Science     
 598.   Ulme                 Swamp Tunnel                        Science     
 599.   Ulme                 The Golden Hawk Bar                 Newbieland  
 600.   Ulme                 Wandering Refrigerator              Chaos       
 601.   Urian                Ashridge Acres                      Chaos       
 602.   Urian                Browning Estate                     Chaos and
                                                                 Newbieland  
 603.   Various              Fantasy Overlands                   Fantasy     
 604.   Various              Wizard Gallery                      Pinnacle    
 605.   Vermillion           Buried Trailer                      Science     
 606.   Vermillion           Dragon Cave                         Fantasy     
 607.   Vermillion           Harfain                             Fantasy     
 608.   Vermillion and       Duploland                           Newbieland
        Squeak            
 609.   Vermillion and       Legoland                            Chaos
        Squeak            
 610.   Vexorg               Desert Psionicist Tents             Fantasy     
 611.   Vexorg               Desert Stronghold                   Fantasy     
 612.   Vexorg               Realm of the Verbeeg                Fantasy     
 613.   Vexorg               Rock Pile                           Fantasy     
 614.   Vishnu               Starbucks Coffee                    Chaos       
 615.   Vivianne             Desert Caverns                      Fantasy     
 616.   Vivianne             Desert Mine                         Science     
 617.   Vivianne             Jeremy's Swamp                      Science     
 618.   Vivianne             Ruined Barn                         Science     
 619.   Vivianne             The Fern Man                        Science     
 620.   Vivianne             Toxic Waste Site                    Science     
 621.   Vivianne             Warner Bros Inuit Village           Chaos       
 622.   Vlad                 Garrison on the Plains              Fantasy     
 623.   Vraal                Darkmoore Mansion                   Chaos       
 624.   Vraal                Gug City                            Chaos       
 625.   Vraal                Overgrown Fields                    Fantasy and
                                                                 Newbieland  
 626.   Vraal                Schloss Mordenheim                  Fantasy     
 627.   Vraal                Teenage Mutant Ninja Turtles        Chaos
                             Sewer                            
 628.   Vraal and Rampage    Snake Pit                           Fantasy     
 629.   Vryce                Uslopta's Tower                     Fantasy and
                                                                 Newbieland  
 630.   Wain                 Cavemaw                             Fantasy     
 631.   Wain                 Temple of Light                     Fantasy     
 632.   Wain                 Troll Bridge                        Fantasy     
 635.   Watson               Elemental Planes                    Fantasy     
 636.   Watson               Newbie Farm                         Newbieland  
 637.   Watson               Petting Zoo                         Chaos       
 638.   Watson               Talbo's Forest Home                 Fantasy     
 639.   Wizwise              Farm of the Rampaging Piggies       Chaos       
 640.   Wizwise              Kareless Kanga's                    Chaos       
 641.   Woof                 Disease Control Center              Pinnacle    
 642.   Woof                 Toy Store                           Chaos       
 643.   Woof and Alfonzo     Atlantis                            Chaos       
 644.   Xanthil              Troll Forest                        Fantasy     
 645.   Xiola                Hippie Commune                      Chaos       
 646.   Xiola                Jack's House                        Chaos       
 647.   Xiola                Phantom Ship                        Fantasy     
 648.   Xiola                Sesame Street                       Chaos       
 649.   Xiola                Water Tower                         Science     
 650.   Zair                 Tornado                             Chaos       
 651.   Zetron               Shady Oaks Asylum                   Chaos       
 652.   Zetron and Lagman    Pegasus Port                        Fantasy     
 653.   Zhaoyun              Shaolin Temple                      Fantasy     
 654.   Zimpor               Banyan Tree                         Fantasy     
 655.   Zimpor               Crevice in the Hills                Fantasy     
 656.   Zimpor               Tunnels of the Rohm Giddor          Fantasy     
 657.   Zix                  Giant Camp                          Fantasy     
 658.   Zix                  Wayhaven Arena                      Fantasy     
 659.   Zoom                 Smurfland                           Chaos       
> 
